Syrian Civil War
Syria
Libyan Civil War
Battle of Aleppo (2012–present)
Arab Spring
Siege of Homs
Free Syrian Army
Muammar Gaddafi
Syrian National Council
Battle of Damascus (2012)
Bahraini uprising (2011–present)
Timeline of the Syrian Civil War (May–August 2011)
Timeline of the Syrian Civil War (May–August 2012)
Egyptian Revolution of 2011
Daraa Governorate clashes (2011–13)
Timeline of the Syrian Civil War (September–December 2011)
2012 Homs offensive
Timeline of the Syrian Civil War (January–April 2011)
International reactions to the Syrian Civil War
Al-Nusra Front
18 July 2012 Damascus bombing
Palestinian people
Bashar al-Assad
List of ongoing armed conflicts
Timeline of the Syrian Civil War (January–April 2012)
Cuban missile crisis
Cities and towns during the Syrian Civil War
Rif Dimashq clashes (November 2011–March 2012)
Deir ez-Zor clashes (2011–present)
Siege of Hama (2011)
Syrian Kurdistan campaign (2012–present)
Justin Bieber
Sectarianism and minorities in the Syrian Civil War
Mike Tyson
Timeline of the Syrian Civil War
Nickelodeon
Riad al-Asaad
Rif Dimashq offensive (August–October 2012)
Mohamed Morsi
Lebanon
Shabiha
Saudi Arabia
Syrian Civil War spillover in Lebanon
Iraq
Al-Qubeir massacre
Idlib Governorate clashes (September 2011–March 2012)
2013 Egyptian coup d'état
National Transitional Council
Tunisian Revolution
Guyana
Houla massacre
Hulk Hogan
Recep Tayyip Erdoğan
United States
|United States presidential election, 2012|
Deaths in 2011
Deaths in 2013
Battle of Tremseh
Qatar
Amazon.com
Kazakhstan
Arabic language
Venezuela
Battle of al-Qusayr (2012)
1982 Hama massacre
The Star-Spangled Banner
Touching Spirit Bear
Ferrari
Post-civil war violence in Libya
Cloning
Battle of Idlib (2012)
Chloë Grace Moretz
War in Darfur
Nicolas Sarkozy
War
Sandy Hook Elementary School shooting
Ghouta chemical attack
Tuareg rebellion (2012)
Flag of Syria
Syrian Army
National Football League
How I Met Your Mother
National Hockey League
Death of Muammar Gaddafi
Ramadan
France national football team
Mold
Kuwait
Duke University
Genocides in history
2011 military intervention in Libya
Pink (singer)
Boston
Doctor Who
Pitbull (rapper)
Siege of Daraa
Rif Dimashq offensive (November 2012–February 2013)
National Coalition for Syrian Revolutionary and Opposition Forces
Mo Farah
Operation Pillar of Defense
FIFA
Allen Iverson
Robert De Niro
Canadian Pacific Railway
October 2011 Jabal al-Zawiya clashes
Scarlett Johansson
Lebanese Civil War
Yemeni Revolution
Roy Lichtenstein
Prince Harry
War in Afghanistan (2001–present)
Bill Murray
Universe
Doughnut
Dell
Bosnian War
Jay Leno
Iraq War
Sheamus
Ginger
Yellow
Soviet war in Afghanistan
Machu Picchu
Battle of Tripoli (2011)
DEFCON
American Revolutionary War
Piranha
Ice hockey
Harlem Renaissance
Carbohydrate
Bangkok
South Sudan
Piano
Georgia (U.S. state)
Antichrist
Ayn Rand
Lars Ulrich
Shia Islam
Barack Obama
Imperialism
Poverty
Timeline of the Libyan Civil War and military intervention (16 August – 23 October)
Theory of relativity
List of massacres in Syria
Woody Allen
Pudding
|Egyptian presidential election, 2012|
American Idol
George III of the United Kingdom
Lil B
Socialism
Sergio Busquets
BMW
Train
Glee (TV series)
Ashley Benson
Computer keyboard
Herbert Hoover
Percy Jackson
Columbian Exchange
Africans
Harvard University
William Wordsworth
Voyager 1
Principality of Sealand
10 May 2012 Damascus bombings
Infinity Ward
Greek mythology
|Douma, Syria|
June 2011 Jisr ash-Shugur operation
Eric Cartman
Mali
Hot dog
Circulatory system
Starbucks
Big Show
Call of Duty: Modern Warfare 2
National Basketball Association
Compromise of 1850
Bangladesh
Battle of Misrata
