Syrian Civil War
Syria
Libyan Civil War
Battle of Aleppo (2012–present)
Arab Spring
Siege of Homs
Free Syrian Army
Muammar Gaddafi
Syrian National Council
Battle of Damascus (2012)
Bahraini uprising (2011–present)
Timeline of the Syrian Civil War (May–August 2011)
Timeline of the Syrian Civil War (May–August 2012)
Egyptian Revolution of 2011
Daraa Governorate clashes (2011–13)
Timeline of the Syrian Civil War (September–December 2011)
2012 Homs offensive
Timeline of the Syrian Civil War (January–April 2011)
International reactions to the Syrian Civil War
Al-Nusra Front
18 July 2012 Damascus bombing
Palestinian people
Bashar al-Assad
List of ongoing armed conflicts
Timeline of the Syrian Civil War (January–April 2012)
Cuban missile crisis
Cities and towns during the Syrian Civil War
Rif Dimashq clashes (November 2011–March 2012)
Deir ez-Zor clashes (2011–present)
Siege of Hama (2011)
