Syrian Civil War
Libyan Civil War
Syria
Arab Spring
Free Syrian Army
Battle of Aleppo (2012–present)
Muammar Gaddafi
Egyptian Revolution of 2011
Siege of Homs
Bahraini uprising (2011–present)
Mohamed Morsi
Bashar al-Assad
Iraq War
2011 military intervention in Libya
Al-Nusra Front
Syrian Civil War spillover in Lebanon
Yemeni Revolution
|United States presidential election, 2012|
Foreign involvement in the Syrian Civil War
Lebanon
Egypt
Libya
War in Afghanistan (2001–present)
Death of Osama bin Laden
Operation Pillar of Defense
Saudi Arabia
Hezbollah
Syrian Kurdistan campaign (2012–present)
Barack Obama
Cities and towns during the Syrian Civil War
Qatar
Boston Marathon bombings
Tunisian Revolution
Timeline of the Syrian Civil War (May–August 2011)
Iran–Iraq War
2011 Norway attacks
Syrian National Council
Rif Dimashq clashes (November 2011–March 2012)
Daraa Governorate clashes (2011–13)
Recep Tayyip Erdoğan
Fukushima Daiichi nuclear disaster
Hosni Mubarak
Post-civil war violence in Libya
Iraq
Julian Assange
Houla massacre
Muslim Brotherhood
Sectarianism and minorities in the Syrian Civil War
Amazon.com
Al-Qaeda
