5979,4021,5327,5103,5391,5550,5303,4883,4442,5159,2524,4302,4440,4979,5305,2795,4182,2795,2630,4814,3809,491,4273,3441,4249,1181,4955,5027,4720,4723,4662,437,3420,713,4699,33,4123,4438,2951,187,4018,614,4682,184,4213,4650,4547,3960,3726,160,3699,1539,1744,2104,557,1959,37,3949,679,431,315,925,48,4601,4075,37,43,39,4613,49,4601,32,2808,419,1301,1053,4268,4332,3888,2548,28,49,22,562,321,47,45,168,32,318,3609,32,41,32,47,4267,4563,3646,28,2639,32,32,68,424,4699,1311,2124,4079,39,48,3975,47,64,315,32,1591,42,2730,31,36,38,2570,440,2410,34,418,45,21,46,21,1299,158,31,21,46,926,38,928,1426,21,122,2045,48,3623,35,21,558,31,21,42,31,21,38,38,27,37,34,38,20,286,38,39,46,930,53,3905,31,48,3977,3687,31,1040,21,31,31,31,31,418,145,48,3606,31,2495,48,30,21,36,31,3642,3627,31,414,3909,20,538,37,31,31,31,1354,923,31,44,34,3968,31,31,31,31,38,46,2463,30,46,1589,1287,418,42,38,3796,48,31,46,44,34,31,3322,31,44,53,46,31,37,148,468,31,26,31,46,21,3081,418,3735,673,431,923,21,32,1100,31,3944,1081,21,425,3687,26,36,21,2292,31,46,41,21,31,30,36,29,44,1582,53,24,21,422,294,2232,31,31,1014,30,913,47,430,474,27,2192,31,38,32,48,46,31,38,31,2502,31,30,46,2041,31,31
157,157,114,73,114,130,104,111,115,89,91,86,82,91,77,86,81,86,100,96,54,51,75,58,85,24,55,64,67,82,71,11,97,38,69,11,85,42,60,35,82,36,67,33,62,69,90,64,66,45,50,11,60,55,41,23,8,36,55,7,35,34,10,63,47,20,19,10,63,11,63,11,12,12,14,43,62,81,70,102,9,10,10,49,35,20,9,23,11,52,46,12,12,9,22,47,52,63,8,35,12,12,16,21,80,13,36,64,9,9,24,23,22,36,12,28,18,65,11,20,9,21,18,47,13,12,21,9,19,9,14,44,11,9,22,11,9,24,41,9,37,49,11,37,20,9,48,11,9,19,11,10,9,9,8,13,7,9,8,17,9,11,21,10,20,61,11,10,55,46,11,44,10,8,12,11,11,12,41,9,57,9,95,11,11,10,20,11,50,46,11,9,72,9,41,9,11,12,8,24,15,11,8,4,22,11,11,11,8,9,22,97,9,22,22,42,12,19,7,33,11,11,6,5,6,12,45,12,8,17,22,12,9,40,18,11,7,11,22,10,48,12,70,52,9,15,7,15,102,11,60,22,9,7,46,4,21,10,63,11,22,11,9,11,9,21,9,8,24,17,11,10,21,5,72,11,11,23,9,13,7,67,21,9,55,12,9,17,11,19,12,10,11,37,9,10,22,47,11,11
852,506,852,527,793,771,788,793,746,756,777,733,517,777,540,417,735,417,426,439,510,34,526,733,733,71,526,525,510,644,392,159,456,155,741,7,721,383,299,61,706,150,510,60,505,392,646,765,722,239,369,323,332,396,389,166,4,490,381,156,20,207,26,392,502,48,47,26,741,28,392,7,477,140,161,257,608,608,490,405,4,27,5,419,19,49,25,17,7,268,736,7,7,6,50,377,392,589,4,353,7,7,76,181,741,162,507,734,26,26,369,50,71,20,7,363,46,292,7,48,26,352,201,759,8,140,48,5,49,5,163,238,7,5,50,46,26,71,410,5,48,727,28,369,49,5,251,7,5,47,7,5,26,26,4,7,23,26,3,47,26,16,49,48,69,384,7,27,721,369,7,259,5,5,7,7,7,140,236,27,770,6,405,28,5,5,48,7,475,412,7,137,721,7,368,28,7,7,6,158,30,7,25,22,369,7,7,7,6,26,50,287,27,50,52,258,140,47,25,477,28,7,34,24,23,7,354,7,25,68,50,7,28,236,156,7,2,7,50,5,484,140,761,380,158,30,4,44,391,7,764,57,5,158,369,1,48,5,692,7,50,27,5,7,5,48,14,25,33,68,6,5,182,24,446,7,7,48,5,28,25,252,139,4,54,7,26,45,28,49,7,26,7,186,6,5,50,725,7,7
2561,1598,1899,2561,1959,2534,2532,2217,2469,1968,998,1924,1924,1631,1960,968,1898,968,1178,2493,1641,22,2461,1346,1905,63,2471,2526,2268,1921,2494,61,1310,41,1640,5,2469,2431,903,1,2203,606,2267,1,1895,2494,1594,1833,1568,2,2369,961,574,632,41,616,5,2408,40,39,0,306,2,2486,1897,0,2,0,1634,2,2486,5,1077,41,102,65,1592,2166,2195,1239,2,2,0,41,2,2,2,1,2,20,1567,2,21,2,2,1655,2432,2360,5,1607,2,2,5,39,1693,104,1004,1834,0,0,1612,2,2,0,2,1522,2,636,2,0,0,1039,39,1261,2,41,19,0,2,0,104,2,2,0,2,63,0,63,102,0,62,995,2,1803,5,0,276,2,0,2,2,0,0,0,2,2,0,0,0,0,0,2,2,63,0,1803,2,2,1841,1858,2,63,0,2,2,2,2,41,0,2,1567,2,681,2,19,0,0,2,2203,1803,2,41,1567,2,41,2,2,2,2,668,65,2,2,0,1610,2,2,2,5,0,2,908,0,2,572,63,41,2,0,1631,2,2,0,2,0,2,1591,2,2,0,2,2,2,0,605,2,0,2,2,0,1687,41,1568,42,41,65,0,0,668,2,1833,64,0,39,1858,0,0,0,1059,2,2,0,0,2,0,0,0,5,574,0,0,0,41,2,612,2,2,630,0,63,19,0,626,2,909,2,0,0,2,5,2,0,2,905,2,19,2,995,2,2
591,437,586,338,591,581,514,519,506,574,567,560,331,583,344,415,560,415,418,172,328,71,276,571,560,16,337,338,335,468,227,121,365,120,570,3,499,164,257,63,496,176,335,63,270,226,470,499,557,238,212,147,245,351,356,115,4,262,411,122,8,177,8,226,324,2,2,8,570,8,226,2,271,115,128,254,458,458,266,357,3,8,3,349,8,1,8,63,3,304,503,2,2,1,2,223,225,386,2,221,2,2,7,114,571,127,319,559,8,10,162,2,8,8,2,145,2,314,2,2,8,221,119,502,2,114,2,3,1,2,127,238,2,3,2,22,8,16,369,3,3,493,8,212,1,3,240,2,3,2,2,2,8,8,3,2,8,8,2,2,8,2,2,21,8,217,2,8,498,212,2,251,2,1,2,2,2,114,238,7,501,1,357,8,2,2,2,2,260,211,2,114,501,1,350,7,2,2,2,128,16,2,9,7,161,2,2,2,1,8,2,248,8,2,10,251,114,2,7,260,8,2,8,7,8,2,210,2,8,7,2,2,7,237,120,2,4,2,2,2,333,114,556,410,120,16,2,2,416,2,498,85,2,119,212,4,2,2,555,2,2,8,3,3,4,2,2,8,4,7,2,2,113,8,411,2,2,21,4,17,7,243,112,2,68,2,9,2,8,1,2,8,2,178,1,2,2,493,2,2
647,227,601,631,634,647,623,587,592,623,449,584,596,592,630,166,580,166,143,623,572,27,589,490,583,45,602,629,616,618,632,8,185,17,580,5,578,586,163,18,563,30,615,18,580,627,583,544,537,6,564,423,108,111,9,105,5,550,22,8,14,36,5,625,580,5,5,5,577,5,625,5,461,8,48,46,575,585,569,153,5,5,5,9,14,5,5,18,5,19,524,5,5,5,5,603,599,546,5,485,5,5,5,8,605,48,441,552,5,5,560,5,5,14,5,427,5,161,5,5,5,476,8,437,5,8,5,5,5,5,43,6,5,5,5,45,5,45,44,5,33,422,5,555,0,5,23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,45,5,559,5,5,541,577,5,46,5,5,5,5,5,8,6,5,524,5,145,5,5,5,5,5,562,550,5,8,534,0,9,0,5,5,5,57,45,5,5,5,560,5,5,5,5,5,5,157,0,5,107,46,8,5,5,551,5,5,5,5,5,5,566,5,5,5,5,5,0,6,12,5,5,5,5,5,511,8,537,17,8,45,5,5,63,5,539,58,5,8,577,5,5,5,464,5,5,5,5,5,5,5,5,5,107,5,5,5,3,5,119,5,5,50,5,45,5,10,12,5,160,5,5,5,5,5,5,5,5,135,5,5,5,422,5,5
799,697,271,754,731,784,799,288,772,737,155,724,698,233,701,626,717,626,167,747,669,2,735,186,724,28,286,746,725,712,739,19,668,19,239,2,769,268,147,13,743,64,725,12,690,737,214,260,218,31,257,100,115,122,47,92,2,272,47,19,2,58,3,729,688,12,12,2,231,2,729,2,129,19,32,43,214,267,704,634,2,2,2,57,2,12,2,2,2,30,218,2,2,2,12,655,268,276,2,158,2,2,12,29,700,32,135,248,2,2,186,12,12,2,2,153,12,118,2,12,2,113,29,182,3,19,12,2,12,2,30,31,2,2,12,15,2,25,58,2,481,154,2,212,10,2,67,2,2,12,2,2,2,2,2,2,2,2,3,15,2,2,12,15,12,210,2,2,255,671,2,44,2,2,2,2,2,19,30,2,228,2,597,2,2,2,12,2,712,220,2,19,218,0,47,0,2,2,2,77,15,2,2,2,186,2,2,2,2,2,12,609,1,12,77,46,19,12,2,662,2,2,2,2,2,2,644,2,2,12,12,2,0,31,62,2,2,2,12,2,642,19,228,45,19,15,2,12,559,2,257,15,2,19,671,2,12,2,612,2,12,3,2,2,2,12,2,2,77,12,3,2,27,5,131,2,2,58,2,15,2,29,62,2,581,2,2,12,2,12,2,2,2,129,2,2,12,154,2,2
229,227,214,210,211,217,215,229,216,201,207,202,204,208,200,201,203,201,215,26,201,17,211,199,200,10,205,205,205,14,21,196,211,201,201,10,209,20,21,9,209,203,205,9,202,18,21,205,204,15,20,11,20,209,200,201,9,204,199,193,11,194,8,18,195,9,10,7,201,10,18,10,193,197,195,15,14,23,208,212,8,10,7,200,12,10,8,7,10,12,201,10,12,8,12,9,18,22,8,19,10,10,8,196,201,196,195,200,7,8,16,12,12,11,10,14,10,16,10,9,7,7,194,195,10,197,11,7,10,7,195,15,10,7,12,6,7,10,195,7,9,197,10,11,9,7,13,10,7,10,10,7,7,7,8,10,5,7,5,7,7,10,12,6,9,12,10,10,200,8,10,11,7,8,10,10,10,197,12,8,202,8,203,10,9,7,9,10,204,10,10,195,204,7,200,7,10,10,8,202,11,10,8,3,13,10,10,10,8,7,12,16,4,12,14,11,197,10,5,198,10,10,5,6,5,10,11,10,8,7,12,10,7,10,198,10,6,10,12,7,198,197,202,197,195,11,5,5,205,10,202,7,7,192,8,4,9,7,193,10,12,7,7,10,8,9,7,8,17,7,7,7,196,6,201,10,10,14,8,8,7,13,203,8,9,10,7,7,10,10,10,7,10,196,8,9,12,195,10,10
92,87,77,57,79,87,87,62,92,78,34,78,58,58,51,76,74,76,63,57,39,5,58,48,78,3,55,53,40,72,58,5,63,7,57,3,82,51,69,5,65,9,40,3,54,55,53,75,53,30,54,5,55,54,30,26,3,53,30,5,5,22,5,51,49,3,3,3,53,3,51,3,6,5,5,28,51,59,38,61,3,3,3,33,5,3,3,3,3,28,56,3,3,3,3,30,51,74,3,9,3,3,6,5,57,5,11,72,3,3,26,3,3,5,3,6,3,52,3,3,3,5,5,46,5,5,3,3,3,3,2,30,3,3,3,3,3,3,27,3,7,31,3,50,0,3,49,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,3,3,3,49,3,3,74,47,3,30,3,3,3,3,3,5,28,3,53,3,61,3,3,3,3,3,40,47,3,5,55,0,30,0,3,3,3,9,3,3,3,3,26,3,3,3,3,3,3,76,2,3,27,28,5,3,3,32,3,3,6,3,3,3,33,3,3,3,3,3,0,30,6,3,3,3,3,3,12,5,53,27,5,3,3,3,37,3,70,3,3,5,47,3,3,3,33,3,3,5,3,3,3,3,6,3,27,3,5,3,2,3,53,3,3,4,3,3,3,29,6,3,49,3,3,3,3,3,3,3,3,47,3,3,3,31,3,3
275,43,256,271,268,272,267,241,263,275,235,268,267,245,268,40,264,40,13,264,256,4,259,250,268,4,258,268,260,267,268,2,28,2,249,0,263,255,22,4,252,6,259,4,262,268,243,248,241,1,255,228,7,9,3,8,0,251,7,2,0,17,0,265,264,0,0,0,245,0,265,0,234,2,6,5,243,246,248,21,0,0,0,3,0,0,0,4,0,5,237,0,0,0,0,255,256,246,0,236,0,0,0,2,257,6,237,252,0,0,238,0,0,0,0,228,0,15,0,0,0,236,2,242,0,2,0,0,0,0,6,1,0,0,0,4,0,4,7,0,12,231,0,252,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,252,0,0,251,262,0,5,0,0,0,0,0,2,1,0,237,0,24,0,0,0,0,0,251,252,0,2,237,0,3,0,0,0,0,6,4,0,0,0,238,0,0,0,0,0,0,33,0,0,6,5,2,0,0,248,0,0,0,0,0,0,253,0,0,0,0,0,0,1,2,0,0,0,0,0,250,2,241,7,2,4,0,0,19,0,248,8,0,2,262,0,0,0,248,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,13,0,0,5,0,4,0,1,2,0,36,0,0,0,0,0,0,0,0,26,0,0,0,231,0,0
