Syrian Civil War
Syria
Libyan Civil War
Battle of Aleppo (2012–present)
Arab Spring
Siege of Homs
Free Syrian Army
Muammar Gaddafi
Syrian National Council
Battle of Damascus (2012)
Bahraini uprising (2011–present)
Timeline of the Syrian Civil War (May–August 2011)
Timeline of the Syrian Civil War (May–August 2012)
Egyptian Revolution of 2011
Daraa Governorate clashes (2011–13)
Timeline of the Syrian Civil War (September–December 2011)
2012 Homs offensive
Timeline of the Syrian Civil War (January–April 2011)
International reactions to the Syrian Civil War
Al-Nusra Front
18 July 2012 Damascus bombing
Palestinian people
Bashar al-Assad
List of ongoing armed conflicts
Timeline of the Syrian Civil War (January–April 2012)
Cuban missile crisis
Cities and towns during the Syrian Civil War
Rif Dimashq clashes (November 2011–March 2012)
Deir ez-Zor clashes (2011–present)
Siege of Hama (2011)
Syrian Kurdistan campaign (2012–present)
Justin Bieber
Sectarianism and minorities in the Syrian Civil War
Mike Tyson
Timeline of the Syrian Civil War
Nickelodeon
Riad al-Asaad
Rif Dimashq offensive (August–October 2012)
Mohamed Morsi
Lebanon
Shabiha
Saudi Arabia
Syrian Civil War spillover in Lebanon
Iraq
Al-Qubeir massacre
Idlib Governorate clashes (September 2011–March 2012)
2013 Egyptian coup d'état
National Transitional Council
Tunisian Revolution
Guyana
Houla massacre
Hulk Hogan
Recep Tayyip Erdoğan
United States
|United States presidential election, 2012|
Deaths in 2011
Deaths in 2013
Battle of Tremseh
Qatar
Amazon.com
Kazakhstan
Arabic language
Venezuela
Battle of al-Qusayr (2012)
1982 Hama massacre
The Star-Spangled Banner
Touching Spirit Bear
Ferrari
Post-civil war violence in Libya
Cloning
Battle of Idlib (2012)
Chloë Grace Moretz
War in Darfur
Nicolas Sarkozy
War
